Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
2023,NC,North Carolina,Cherokee,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.9,,,19.1,29.1,"29,959","25,195",37039,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-84.0637476312268 35.1337276354312)
2023,NC,North Carolina,Brunswick,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,19.9,,,15.9,24.5,"159,964","137,936",37019,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.2376597098153 34.0703788434431)
2023,NC,North Carolina,Clay,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,22.2,,,17.4,27,"11,864","10,069",37043,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-83.7497979844905 35.0571247338988)
2023,NC,North Carolina,Camden,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,20.1,,,17.3,23,"11,137","8,653",37029,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.2049603642896 36.3863407828493)
2023,NC,North Carolina,Cabarrus,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,21.3,,,17.5,25.8,"240,016","180,188",37025,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.5518327021882 35.3869793087838)
2023,NC,North Carolina,Dare,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,18.4,,,14.6,22.6,"38,110","31,485",37055,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-75.7824832328063 35.7631926889993)
2023,NC,North Carolina,Columbus,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,29.5,,,24.4,34.7,"50,121","39,774",37047,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.6551028425544 34.2655540076522)
2023,NC,North Carolina,Caswell,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.9,,,22,31.9,"22,807","18,569",37033,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-79.333539673756 36.393167608535)
2023,NC,North Carolina,Halifax,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,33.1,,,27.8,39,"47,298","37,177",37083,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-77.6516450517141 36.257829844498)
2023,NC,North Carolina,Perquimans,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.6,,,19.7,29.3,"13,377","10,937",37143,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.4398245484823 36.2049769828067)
2023,NC,North Carolina,Wayne,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,27.6,,,22.8,32.5,"118,686","90,368",37191,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.0039504800588 35.3637958601789)
2023,NC,North Carolina,Pasquotank,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.4,,,20.6,30.1,"41,444","32,807",37139,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.2844399122087 36.2952169111293)
2023,NC,North Carolina,Haywood,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,21.8,,,17.3,27,"62,969","52,105",37087,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-82.9820402617006 35.5556752243833)
2023,NC,North Carolina,Rutherford,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.8,,,22.1,32,"65,507","52,439",37161,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.9203691777493 35.4025792890745)
2023,NC,North Carolina,Franklin,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24,,,19.8,28.9,"77,001","60,292",37069,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.2855965915324 36.0827093866128)
